"MassFeature","compound_experimental","compound_theoretical","massbank_match","massbank_ID","mz_experimental","mz_theoretical","mz_massbank","column_experimental","column_theoretical","z_experimental","z_theoretical","z_massbank","MS2_experimental","MS2_theoretical","MS2_massbank","ppm_mass_error","massbank_ppm","mz_similarity_score1","rt_similarity_score1","MS2_cosine_similarity1","massbank_cosine_similarity","total_similarity_score","confidence_rank","confidence_source"
"L-Pyroglutamic acid",6,"Taurine, D4","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.0325,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5",NA,"128.0348, 100",17.7142522407595,4.28384929283656,0.99359084680306,0.000263409685041803,NA,0.912411885485068,49.6927128244051,"2","MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03425, 100; 82.02868, 3.2","128.0348, 100",0,4.28384929283656,1,1,0.909962160297431,0.912411885485068,96.998738676581,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03348, 100; 82.02822, 3.2","128.0348, 100",0,4.28384929283656,1,1,0.909962156332902,0.912411885485068,96.9987385444301,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03425, 100; 82.02862, 3.1","128.0348, 100",0,4.28384929283656,1,1,0.910038422678817,0.912411885485068,97.0012807559606,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03427, 100; 82.02867, 3","128.0348, 100",0,4.28384929283656,1,1,0.910114692945647,0.912411885485068,97.0038230981882,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03427, 100; 82.02865, 6.1","128.0348, 100",0,4.28384929283656,1,1,0.907759066209284,0.912411885485068,96.9253022069761,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","128.03424, 100; 82.02865, 5.7","128.0348, 100",0,4.28384929283656,1,1,0.908061986800263,0.912411885485068,96.9353995600088,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","82.02967, 100; 128.03429, 48.6","128.0348, 100",0,4.28384929283656,1,1,0.786243334867665,0.912411885485068,92.8747778289222,"1; 2","Ingalls_Standards; MoNA"
"L-Pyroglutamic acid",6,"L-Pyroglutamic acid","L-Pyroglutamic acid; pGlu; pyroGlu; Pyroglutamate; Pidolic acid; L-Glutimic acid; L-5-Oxoproline; (S)-(?)-2-Pyrrolidone-5-carboxylic acid; (S)-5-Oxo-2-pyrrolidinecarboxylic acid; L-a-Aminoglutaric Acid Lactam; L-5-Oxo-2-pyrrolidinecarboxylic acid ID:PR100586","PR100586",128.034768,128.034768,128.035316484,"HILIC","HILIC",-1,-1,-1,"128.03429, 100; 129.04133, 19.5","82.02872, 100; 128.0339, 52.9","128.0348, 100",0,4.28384929283656,1,1,0.794604499697243,0.912411885485068,93.1534833232414,"1; 2","Ingalls_Standards; MoNA"
"Malic Acid",7,"Malic Acid",NA,NA,133.0137,133.0137,NA,"HILIC","HILIC",-1,-1,NA,"91.02903, 100; 132.05575, 59.6","115.00256, 100; 71.01264, 61.2",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Malic Acid",7,"Malic Acid",NA,NA,133.0137,133.0137,NA,"HILIC","HILIC",-1,-1,NA,"91.02903, 100; 132.05575, 59.6","115.0025, 100; 71.0126, 61",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Malic Acid",7,"Malic Acid",NA,NA,133.0137,133.0137,NA,"HILIC","HILIC",-1,-1,NA,"91.02903, 100; 132.05575, 59.6","115.00254, 100; 71.01263, 61.4",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Malic Acid",7,"Malic Acid",NA,NA,133.0137,133.0137,NA,"HILIC","HILIC",-1,-1,NA,"91.02903, 100; 132.05575, 59.6","115.00258, 100; 71.01303, 61.6",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
"Malic Acid",7,"Malic Acid",NA,NA,133.0137,133.0137,NA,"HILIC","HILIC",-1,-1,NA,"91.02903, 100; 132.05575, 59.6","71.01262, 100; 115.00257, 86.8",NA,0,NA,1,1,0,NA,66.6666666666667,"1","Ingalls_Standards"
